128.05200000000002,29.805,128.05200000000002,52.986999999999995,111.494,56.299,98.24700000000001,23.182,118.117,0.0,144.61,52.986999999999995,157.857,29.805,141.299,3.312,114.805,135.779,111.494,195.39,108.182,251.688,137.987,135.779,141.299,198.701,141.299,255.0,124.74,23.182,131.364,26.494,118.117,29.805,137.987,29.805
126.994,36.429,126.994,63.75,108.78,59.196000000000005,99.67299999999999,36.429,113.333,0.0,145.208,63.75,149.762,31.875,136.101,0.0,117.887,141.161,108.78,204.91099999999997,113.333,255.0,140.655,141.161,149.762,200.357,149.762,255.0,122.44,31.875,131.548,31.875,117.887,40.982,136.101,36.429
127.795,21.25,127.795,47.812,111.85799999999999,47.812,101.23299999999999,21.25,117.17,0.0,143.733,47.812,154.358,21.25,133.108,0.0,117.17,132.812,106.545,191.25,106.545,244.375,143.733,132.812,149.045,196.562,143.733,255.0,122.48299999999999,21.25,133.108,21.25,117.17,26.563000000000002,138.42,21.25
130.386,33.056,130.386,56.667,111.49700000000001,56.667,102.052,33.056,116.219,0.0,149.275,61.388999999999996,153.997,33.056,139.83,0.0,111.49700000000001,136.944,102.052,203.05599999999998,106.775,255.0,139.83,141.667,139.83,203.05599999999998,139.83,255.0,125.664,28.333000000000002,135.108,23.611,120.941,33.056,139.83,33.056
130.549,38.734,127.321,61.32899999999999,111.181,54.873000000000005,111.181,22.595,130.549,0.0,140.232,67.785,156.371,45.19,149.916,12.911,104.726,138.797,104.726,196.899,104.726,251.77200000000002,127.321,142.025,130.549,196.899,137.004,255.0,130.549,32.278,137.004,35.506,120.865,35.506,140.232,41.961999999999996
132.517,26.563000000000002,127.205,53.125,111.26700000000001,47.812,111.26700000000001,15.937999999999999,132.517,0.0,137.83,58.437,159.08,37.188,148.455,0.0,105.955,132.812,95.33,196.562,95.33,249.688,132.517,132.812,132.517,196.562,137.83,255.0,132.517,21.25,137.83,21.25,121.89200000000001,21.25,143.142,31.875
124.787,27.128,124.787,54.255,113.936,54.255,92.234,32.553000000000004,108.51100000000001,0.0,146.489,43.403999999999996,146.489,16.277,130.213,0.0,124.787,135.638,113.936,195.31900000000002,113.936,255.0,151.915,135.638,157.34,200.745,157.34,255.0,119.36200000000001,21.701999999999998,124.787,21.701999999999998,113.936,37.979,130.213,21.701999999999998
130.907,35.506,130.907,58.101000000000006,114.76799999999999,61.32899999999999,105.084,29.051,114.76799999999999,0.0,143.819,58.101000000000006,153.502,29.051,137.363,0.0,117.99600000000001,138.797,111.54,196.899,105.084,255.0,137.363,138.797,140.591,196.899,137.363,255.0,124.45100000000001,32.278,134.135,32.278,117.99600000000001,35.506,137.363,38.734
133.009,28.333000000000002,133.009,56.667,114.12,51.943999999999996,104.676,33.056,118.84299999999999,0.0,147.17600000000002,61.388999999999996,151.898,33.056,137.731,0.0,114.12,136.944,99.954,203.05599999999998,104.676,255.0,137.731,141.667,142.454,203.05599999999998,137.731,255.0,123.565,23.611,133.009,23.611,118.84299999999999,33.056,142.454,33.056
132.1,36.429,128.78799999999998,59.61,115.541,52.986999999999995,108.91799999999999,23.182,125.476,0.0,145.346,66.234,158.593,33.117,145.346,6.622999999999999,108.91799999999999,135.779,102.294,195.39,95.671,255.0,132.1,142.403,132.1,202.013,128.78799999999998,255.0,128.78799999999998,29.805,138.72299999999998,33.117,125.476,36.429,142.035,39.74
